index,product_smiles,ground_truth_reactants,predicted_reactants_qwen25_7b_lora_peft,exact_match_qwen25_7b_lora_peft,core_exact_match_qwen25_7b_lora_peft,valid_qwen25_7b_lora_peft
0,N#Cc1cccc(NC(=O)Nc2ccc([C@@H]3CNCCO3)cc2F)c1,CC(C)(C)OC(=O)N1CCO[C@H](c2ccc(NC(=O)Nc3cccc(C#N)c3)c(F)c2)C1,CC(C)(C)OC(=O)N1CCOC[C@H]1c1ccc(NC(=O)Nc2cccc(C#N)c2)c(F)c1,False,False,True
1,CCC(Cl)C(=O)N[C@@H](CO)c1cc(F)cc(F)c1,CCC(Cl)C(=O)Cl.N[C@@H](CO)c1cc(F)cc(F)c1,CCC(Cl)C(=O)Cl.N[C@@H](CO)c1cc(F)cc(F)c1,True,True,True
2,CC(C)Cc1cc(C(=O)N2CCN(CC(C)C)CC2)ccc1OCc1ccc(Cl)cc1,Clc1ccc(CBr)cc1.CC(C)Cc1cc(C(=O)N2CCN(CC(C)C)CC2)ccc1O,CC(C)Cc1cc(C(=O)O)ccc1OCc1ccc(Cl)cc1.CC(C)CN1CCNCC1,False,False,True
3,CC(C)c1noc(C=C2CCN(C(=O)OC(C)(C)C)CC2)n1,CCOP(=O)(Cc1nc(C(C)C)no1)OCC.CC(C)(C)OC(=O)N1CCC(=O)CC1,CC(C)(C)OC(=O)N1CCC(=O)CC1.CC(C)c1noc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)n1,False,False,True
4,Nc1cccc(C2=NOC(c3c(Cl)cccc3Cl)C2)c1,O=[N+]([O-])c1cccc(C2=NOC(c3c(Cl)cccc3Cl)C2)c1,O=[N+]([O-])c1cccc(C2=NOC(c3c(Cl)cccc3Cl)C2)c1,True,True,True
5,CC(C)C[C@H](NC(=O)c1cc2ccccc2s1)C(=O)NC[C@@H]1CCCN(S(=O)(=O)c2ccccc2C#N)C1,N#Cc1ccccc1S(=O)(=O)Cl.CC(C)C[C@H](NC(=O)c1cc2ccccc2s1)C(=O)NCC1CCCNC1,N#Cc1ccccc1S(=O)(=O)Cl.CC(C)C[C@H](NC(=O)c1cc2ccccc2s1)C(=O)NC[C@@H]1CCCNC1,False,False,True
6,O=C(c1ccnc(-c2cccs2)c1)N1CCOCC1,O=C(c1ccnc(Br)c1)N1CCOCC1.CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[c]1cccs1,O=C(O)c1ccnc(-c2cccs2)c1.C1COCCN1,False,False,True
7,CC(C)(C)c1nc2c(C(=O)O)cc(-c3ccccc3)c(N)c2o1,CC(C)(C)c1nc2c(C(=O)O)cc(-c3ccccc3)c([N+](=O)[O-])c2o1,COC(=O)c1cc(-c2ccccc2)c(N)c2oc(C(C)(C)C)nc12,False,False,True
8,CN(C)c1ccc2c(=O)n(-c3cccc(Br)c3)ccc2c1,Brc1cccc(Br)c1.CN(C)c1ccc2c(=O)[nH]ccc2c1,Brc1cccc(Br)c1.CN(C)c1ccc2c(=O)[nH]ccc2c1,True,True,True
9,CC(C)(C)OC(=O)N(Cc1ccc(C(F)(F)F)cc1)n1cccc1,FC(F)(F)c1ccc(CCl)cc1.CC(C)(C)OC(=O)Nn1cccc1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.FC(F)(F)c1ccc(CNn2cccc2)cc1,False,False,True
10,NCc1cc(O)cc(Cl)c1,COc1cc(Cl)cc(CN)c1,N#Cc1cc(O)cc(Cl)c1,False,False,True
11,COC(=O)c1cccc(C=NO)c1,COC(=O)c1cccc(C=O)c1.NO,COC(=O)c1cccc(C=O)c1.NO,True,True,True
12,Cn1cnc2c(C#N)nc(-c3ccc(OCCO)c(C(F)(F)F)c3)cc21,Cn1cnc2c(C#N)nc(Cl)cc21.OCCOc1ccc(B(O)O)cc1C(F)(F)F,Cn1cnc2c(C#N)nc(-c3ccc(OCCOC4CCCCO4)c(C(F)(F)F)c3)cc21,False,False,True
13,COC(=O)c1cc(Br)ccc1NC(=O)COc1cccc(-c2ccoc2)c1,O=C(O)COc1cccc(-c2ccoc2)c1.COC(=O)c1cc(Br)ccc1N,O=C(O)COc1cccc(-c2ccoc2)c1.COC(=O)c1cc(Br)ccc1N,True,True,True
14,CCOC(=O)c1cc(Oc2ccc(S(C)(=O)=O)cc2)c2cc(CBr)oc2c1,O=C1CCC(=O)N1Br.CCOC(=O)c1cc(Oc2ccc(S(C)(=O)=O)cc2)c2cc(C)oc2c1,O=C1CCC(=O)N1Br.CCOC(=O)c1cc(Oc2ccc(S(C)(=O)=O)cc2)c2cc(C)oc2c1,True,True,True
15,Clc1ccc(-c2cnc(NCc3ccncc3)nc2NC2CCN(Cc3ccccc3)CC2)cc1,Brc1cnc(NCc2ccncc2)nc1NC1CCN(Cc2ccccc2)CC1.OB(O)c1ccc(Cl)cc1,O=Cc1ccncc1.Nc1ncc(-c2ccc(Cl)cc2)c(NC2CCN(Cc3ccccc3)CC2)n1,False,False,True
16,Cc1cccc(NC(=O)c2cccc(N)c2)c1C,Cc1cccc(NC(=O)c2cccc([N+](=O)[O-])c2)c1C,Cc1cccc(NC(=O)c2cccc([N+](=O)[O-])c2)c1C,True,True,True
17,CC(O)c1oc(=O)c2ccccc2c1-c1ccccn1,CC(O[Si](C)(C)C(C)(C)C)c1oc(=O)c2ccccc2c1-c1ccccn1,CC(=O)c1oc(=O)c2ccccc2c1-c1ccccn1.[CH3][Mg+],False,False,True
18,COC=C1CCC(C(=O)OC)CC1,COC(=O)C1CCC(=O)CC1.COC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,COC(=O)C1CCC(=O)CC1.COC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,True,True,True
19,O=Cc1c(OC(F)F)ccc(F)c1Cl,COC(OC)c1c(OC(F)F)ccc(F)c1Cl,Fc1ccc(OC(F)F)c(Br)c1Cl.CN(C)C=O,False,False,True
20,O=C(Cc1cnccn1)N[C@@H](COCc1ccccc1)C(=O)Nc1ccc(Oc2ccc(F)cc2)cc1,O=C(O)Cc1cnccn1.N[C@@H](COCc1ccccc1)C(=O)Nc1ccc(Oc2ccc(F)cc2)cc1,O=C(O)Cc1cnccn1.N[C@@H](COCc1ccccc1)C(=O)Nc1ccc(Oc2ccc(F)cc2)cc1,True,True,True
21,COC(=O)c1ccc(Cl)c2nc3n(c12)CCCCN3c1ncc(Cl)cc1Cl,COC(=O)c1ccc(Cl)c2nc(Nc3ncc(Cl)cc3Cl)n(CCCCO)c12,Clc1cnc(Cl)c(Cl)c1.COC(=O)c1ccc(Cl)c2nc3[nH]c4c(n3c12)CCCCN4,False,False,True
22,N#Cc1cc([N+](=O)[O-])ccc1N1CCOCC1,N#Cc1cc([N+](=O)[O-])ccc1F.C1COCCN1,N#Cc1cc([N+](=O)[O-])ccc1F.C1COCCN1,True,True,True
23,CC(=O)OC[C@H]1CN(c2cccc(F)c2)C(=O)O1,CC(=O)OC[C@H]1CN(c2ccc(I)c(F)c2)C(=O)O1,,False,False,False
24,FC(F)(F)c1cccc(CN(CCCBr)CC(c2ccccc2)c2ccccc2)c1Cl,BrCCCBr.FC(F)(F)c1cccc(CNCC(c2ccccc2)c2ccccc2)c1Cl,BrCCCBr.NCc1cccc(C(F)(F)F)c1Cl,False,False,True
25,COc1ccc(-n2nc(C)cc2C(=O)O)cc1,CCOC(=O)c1cc(C)nn1-c1ccc(OC)cc1,CCOC(=O)c1cc(C)nn1-c1ccc(OC)cc1,True,True,True
26,N#Cc1cc(Br)ccc1OCc1ccccc1,BrCc1ccccc1.N#Cc1cc(Br)ccc1O,BrCc1ccccc1.N#Cc1cc(Br)ccc1O,True,True,True
27,CC(=O)N1CCN(c2ccc(Oc3ncnc4c3cnn4C3CCN(C(=O)OC(C)(C)C)CC3)cc2)CC1,CC(C)(C)OC(=O)N1CCC(n2ncc3c(Cl)ncnc32)CC1.CC(=O)N1CCN(c2ccc(O)cc2)CC1,CC(C)(C)OC(=O)N1CCC(=O)CC1,False,False,True
28,O=[N+]([O-])c1cccc(-c2csc(NN=C3CCN(Cc4ccccc4)CC3)n2)c1,O=C(CBr)c1cccc([N+](=O)[O-])c1.NC(=S)NN=C1CCN(Cc2ccccc2)CC1,O=[N+]([O-])c1cccc(-c2csc(Cl)n2)c1.NN=C1CCN(Cc2ccccc2)CC1,False,False,True
29,OC(c1ccccc1)(c1ccccc1)C1CCN(CCNc2ncccn2)CC1,Clc1ncccn1.NCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,Clc1ncccn1.NCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,True,True,True
30,O=C(Nc1ccccc1NC(=O)c1ccc2c(Br)c[nH]c2c1)OCC1CCN(c2ccncc2)CC1,O=C(O)c1ccc2c(Br)c[nH]c2c1.Nc1ccccc1NC(=O)OCC1CCN(c2ccncc2)CC1,O=C(Cl)c1ccc2c(Br)c[nH]c2c1.Nc1ccccc1NC(=O)OCC1CCN(c2ccncc2)CC1,False,False,True
31,CCC1CNCCCN1,CCC1NCCCNC1=O,CCC1CN(C(=O)OC(C)(C)C)CCCN1,False,False,True
32,CN1Cc2c(N3CCN(C(=O)OC(C)(C)C)CC3)cccc2N(Cc2cccc(F)c2)C1=O,CN1Cc2c(Br)cccc2N(Cc2cccc(F)c2)C1=O.CC(C)(C)OC(=O)N1CCNCC1,Fc1cccc(CBr)c1.CN1Cc2c(cccc2N2CCN(C(=O)OC(C)(C)C)CC2)NC1=O,False,False,True
33,COC(=O)c1cc(Cn2ccnn2)ccc1OC,COC(=O)c1cc(CCl)ccc1OC.c1c[nH]nn1,COC(=O)c1cc(CBr)ccc1OC.c1cnncn1,False,False,True
34,N#Cc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)[C@H]2CC(=O)CC[C@@H]2O3)c1,NC1=NC2(CO1)c1cc(Br)ccc1O[C@H]1CCC(=O)C[C@@H]12.CC1(C)OB(c2cncc(C#N)c2)OC1(C)C,CC(C)(C)OC(=O)NC1=C(c2cncc(C#N)c2)C2(O)CCC(=O)CC[C@H]12,False,False,True
35,CC(C)(C)OC(=O)N1CCC(CO)CC1,CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1,CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1,True,True,True
36,COC(=O)c1ccc(CCC(=O)c2cccnc2Nc2ccccc2)c(OC)c1,COC(=O)c1ccc(/C=C/C(=O)c2cccnc2Nc2ccccc2)c(OC)c1,COC(=O)c1ccc(Br)c(OC)c1.CON(C)C(=O)CCc1cccnc1Nc1ccccc1,False,False,True
37,Cc1cc(C[C@@H](O)C(=O)O)cc(Cl)c1OCc1ccccc1,Cc1cc(CC(=O)C(=O)O)cc(Cl)c1OCc1ccccc1,CCOC(=O)[C@@H](O)Cc1cc(C)c(OCc2ccccc2)c(Cl)c1,False,False,True
38,O=C1Nc2ccccc2/C1=C\c1ccc2[nH]nnc2c1,O=Cc1ccc2[nH]nnc2c1.O=C1Cc2ccccc2N1,O=Cc1ccc2[nH]nnc2c1.O=C1Cc2ccccc2N1,True,True,True
39,COc1cnc(Cn2ccnc2-c2ncccn2)c(OC)n1,COc1cnc(Cn2ccnc2-c2ncccn2)c(Cl)n1.C[O-],COc1cnc(CN=[N+]=[N-])c(OC)n1.C#Cc1ncccn1,False,False,True
40,CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCN(CCc3ccc4nonc4c3)CC1)O2,BrCCc1ccc2nonc2c1.CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCNCC1)O2,CS(N)(=O)=O,False,False,True
41,CC1(C)OB(c2c[nH]c3cc(C#N)ccc23)OC1(C)C,N#Cc1ccc2c(Br)c[nH]c2c1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,False,False,False
42,CCOC(=O)NC(=S)Nc1cccc(I)c1,CCOC(=O)N=C=S.Nc1cccc(I)c1,CCOC(=O)Cl.N=S(N)c1cccc(I)c1,False,False,True
43,COc1nc(C)cnc1NS(=O)(=O)c1cccc(Cl)c1C,Cc1c(Cl)cccc1S(=O)(=O)Cl.COc1nc(C)cnc1N,Cc1c(Cl)cccc1S(=O)(=O)Cl.COc1nc(C)cnc1N,True,True,True
44,CC(C)(C)OC(=O)NC(C)(CO[C@](C)(C(N)=O)C(F)(F)F)c1cccc(Br)n1,CCOC(=O)[C@@](C)(OCC(C)(NC(=O)OC(C)(C)C)c1cccc(Br)n1)C(F)(F)F.N,CC(C)(C)OC(=O)NC(C)(CO[C@](C)(C(=O)O)C(F)(F)F)c1cccc(Br)n1.N,False,False,True
45,NCC1CCN(C(=O)Oc2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)CC1,O=C(Cl)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1.NCC1CCNCC1,CC(C)(C)OC(=O)NCC1CCN(C(=O)Oc2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)CC1,False,False,True
46,Cc1cc2nc(NC(=O)c3ccc(C(C)(C)O)cc3)cc(-c3ccccc3)n2n1,Cc1cc2nc(NC(=O)c3ccc(C(C)(C)O)cc3)cc(Cl)n2n1.OB(O)c1ccccc1,CC(C)(O)c1ccc(C(=O)Cl)cc1.Cc1cc2nc(N)cc(-c3ccccc3)n2n1,False,False,True
47,CCCc1cc(CC(=O)O)ccc1OC1COc2ccc(C(C)=O)c(O)c2C1,CCCc1cc(CC(=O)OC)ccc1OC1COc2ccc(C(C)=O)c(O)c2C1,CCCc1cc(CC(=O)OC)ccc1OC1COc2ccc(C(C)=O)c(O)c2C1,True,True,True
48,CC(C)(C)OC(=O)/C=C1/CCCN(C(=O)OC(C)(C)C)C1,COP(=O)(CC(=O)OC(C)(C)C)OC.CC(C)(C)OC(=O)N1CCCC(=O)C1,CCOP(=O)(CC(=O)OC(C)(C)C)OCC.CC(C)(C)OC(=O)N1CC=CCCC1,False,False,True
49,N#Cc1ccc2[nH]nc(-c3ccc4cc(OCCN5CCCC5)ccc4c3)c2c1,N#Cc1ccc2c(c1)c(-c1ccc3cc(OCCN4CCCC4)ccc3c1)nn2C1CCCCO1,,False,False,False
50,COc1cc(O)cc(Br)c1,COc1cc(Br)cc(OC)c1,COc1cc(Br)cc(OCc2ccccc2)c1,False,False,True
51,CC(C)c1nc(OCC(=O)N(C)C2CCN(Cc3ccccc3)CC2)nc(C(C)C)c1N,CCOC(=O)COc1nc(C(C)C)c(N)c(C(C)C)n1.CNC1CCN(Cc2ccccc2)CC1,CC(C)c1nc(OCC(=O)N(C)C2CCN(Cc3ccccc3)CC2)nc(C(C)C)c1[N+](=O)[O-],False,False,True
52,CCOC(=O)C(F)(F)C(O)c1ccccc1,CCOC(=O)C(F)(F)Br.O=Cc1ccccc1,CCOC(=O)C(F)(F)C(=O)c1ccccc1.[CH3][Mg+],False,False,True
