index,product_smiles,ground_truth_reactants,predicted_reactants_rag_cot_gptoss120b,exact_match_rag_cot_gptoss120b,core_exact_match_rag_cot_gptoss120b,valid_rag_cot_gptoss120b
0,c1ccc(-c2ccc(Oc3ccc(OC[C@H]4CCCN4)cc3)cc2)cc1,CC(C)(C)OC(=O)N1CCC[C@@H]1COc1ccc(Oc2ccc(-c3ccccc3)cc2)cc1,CC(C)(C)OC(=O)N1CCC[C@@H]1COc1ccc(Oc2ccc(-c3ccccc3)cc2)cc1,True,True,True
1,C#CCOC(=O)C(C)O,C#CCO.CC(O)C(=O)O,C#CCO.CC(O)C(=O)O,True,True,True
2,Cc1c(C2=NN(Cc3cccc(C(F)(F)F)c3)S(=O)(=O)c3ccccc32)c2cc(F)ccc2n1CC(=O)O,Cc1c(C2=NN(Cc3cccc(C(F)(F)F)c3)S(=O)(=O)c3ccccc32)c2cc(F)ccc2n1CC(=O)OC(C)(C)C,Cc1[nH]c2ccc(F)cc2c1C1=NN(Cc2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccccc21.O=C(O)CBr,False,False,True
3,COc1cc(C#Cc2ccc(C(C)(C)C(=O)O)cc2)cc2c1C(N(C)C1CC1)CCC2(C)C,COC(=O)C(C)(C)c1ccc(C#Cc2cc(OC)c3c(c2)C(C)(C)CCC3N(C)C2CC2)cc1,C#Cc1ccc2c(c1OC)C(C)(C)CCC2N(C)C1CC1.CC(C)(C(=O)O)c1ccc(I)cc1,False,False,True
4,CCc1cccc(CC)c1-c1nc(C)c(C(=O)OC)c(OC)n1,COC(=O)c1c(C)nc(Cl)nc1OC.CCc1cccc(CC)c1B(O)O,CCc1cccc(CC)c1B(O)O.COC(=O)c1c(C)nc(Cl)nc1OC,True,True,True
5,CCNC(=O)Nc1sc2c(c1C(=O)N1CCC(N3CCCC4(C3)CC(C)(C)OC4=O)CC1)CCN(C(C)=O)C2,CC(=O)OC(C)=O.CCNC(=O)Nc1sc2c(c1C(=O)N1CCC(N3CCCC4(C3)CC(C)(C)OC4=O)CC1)CCNC2,CCNC(=O)Nc1sc2c(c1C(=O)O)CCN(C(C)=O)C2.CC1(C)CC2(CCCNC2)C(=O)O1,False,False,True
6,COC(=O)OC(C#Cc1cccc(C)n1)C1CCN(C(=O)OC(C)(C)C)CC1,COC(=O)Cl.Cc1cccc(C#CC(O)C2CCN(C(=O)OC(C)(C)C)CC2)n1,Cc1cccc(C#CCC2CCNCC2)n1.COC(=O)Cl.CC(C)(C)OC(=O)Cl,False,False,True
7,CC(C)(C)C(=O)OCOC(=O)CNc1cccc(C(NCc2ccc(-c3nccs3)cc2)S(=O)(=O)c2ccccn2)n1,CC(C)(C)C(=O)OCCl.O=C(O)CNc1cccc(C(NCc2ccc(-c3nccs3)cc2)S(=O)(=O)c2ccccn2)n1,CC(C)(C)OC(=O)Cl.O=C(CO)Nc1cccc(C(NCc2ccc(-c3nccs3)cc2)S(=O)(=O)c2ccccn2)n1,False,False,True
8,Cc1cc(Nc2cc3c(C)cccc3c(Oc3ccccc3)n2)n[nH]1,Cc1cc(Nc2cc3c(C)cccc3c(Cl)n2)n[nH]1.Oc1ccccc1,Cc1cc(Nc2cc3c(C)cccc3c(Cl)n2)n[nH]1.Oc1ccccc1,True,True,True
9,Cn1c(CC(=O)Nc2ccc(F)c(Cl)c2)nc(N2CCOC(CF)C2)cc1=O,Cn1c(CC(=O)O)nc(N2CCOC(CF)C2)cc1=O.Nc1ccc(F)c(Cl)c1,Cn1c(CC(=O)Cl)nc(N2CCOC(CF)C2)cc1=O.Nc1ccc(F)c(Cl)c1,False,False,True
